edgar_cik,edgar_year,sec_id,sec_title,distance
1800,1993,f25ac42d5de708bc34fc561fb2600177,SEC Charges Former Professional Baseball Player Doug DeCinces and Three Others with Insider Trading,0.41807414320268177
1800,1993,d3107691d51507d54cf57622565021f2,SEC Charges Biopharmaceutical Company and Executives with Securities Fraud,0.43592942065864826
1800,1993,99b3a85dc1730b65cfea64645b4c457d,SEC Announces Fraud Charges Against Biotech Company and Former Executive Who Failed to Report Insider Stock Sales,0.4216507527335617
1800,1993,dbdc1d6d6f5588a77591545bc1e60715,SEC Charges Two Traders in Chile With Insider Trading,0.424104922737241
1800,1993,4dea5f111170565e7b8cca366f127fca,SEC Charges Executives of Iowa Insurance Company With Misleading Proxy Disclosures to Investors,0.43590282449870055
50104,1993,4dea5f111170565e7b8cca366f127fca,SEC Charges Executives of Iowa Insurance Company With Misleading Proxy Disclosures to Investors,0.44342935930472993
50104,1993,a46b5f4282e6f39e9ca97085e537f151,"SEC Files Fraud Charges Against Nicor's Former CEO, CFO and Treasurer
See also: Litigation Release No. 20233",0.44757204913154647
50104,1993,b41657c98ff1601d56bf294a2b7f8c9f,"SEC Charges 4 Additional Former Officers of Nortel Networks Corporation in Financial Fraud Scheme
See also: Litigation Release No. 20275",0.45530308990996504
50104,1993,47e554da0ac3cc86db41839c927a3302,SEC Announces Fraud Charges Against Coal Company and CEO for False Disclosures About Management,0.45380110532855056
50104,1993,9b91c0aab66ca6f6d12d0b395963b79e,"SEC Files Settled Charges Against Eight Former Officers and Directors of Spiegel, Inc.
See also:
Litigation Release 19897 
Complaint: Michael Crusemann and Michael Otto 
Complaint: John R. Steele 
Complaint: Martin Zaepfel 
Complaint: James R. Cannataro 
Complaint: Michael R. Moran and James W. Sievers 
Administrative Proceeding No. 34-54689",0.4526731759357011
315189,1993,a46b5f4282e6f39e9ca97085e537f151,"SEC Files Fraud Charges Against Nicor's Former CEO, CFO and Treasurer
See also: Litigation Release No. 20233",0.4471265773920655
315189,1993,9b91c0aab66ca6f6d12d0b395963b79e,"SEC Files Settled Charges Against Eight Former Officers and Directors of Spiegel, Inc.
See also:
Litigation Release 19897 
Complaint: Michael Crusemann and Michael Otto 
Complaint: John R. Steele 
Complaint: Martin Zaepfel 
Complaint: James R. Cannataro 
Complaint: Michael R. Moran and James W. Sievers 
Administrative Proceeding No. 34-54689",0.4459491718667442
315189,1993,652c355b8848e75fdf85651bb0e31432,"SEC Charges Delphi Corporation and Nine Individuals, Including Former CEO, CFO, Treasurer and Controller, in Wide-Ranging Financial Fraud; Four Others Charged With Aiding and Abetting Related Violations
See also: Litigation Release 19891; Complaint; Administrative Proceeding Nos. 34-54665, 34-54666, 34-54667 and 34-54668",0.4539255549470297
315189,1993,4d6f7a14fdef30beee8e35fe68902bfb,Three Former Directors at Military Body Armor Supplier Settle SEC Charges,0.445594111867326
315189,1993,b41657c98ff1601d56bf294a2b7f8c9f,"SEC Charges 4 Additional Former Officers of Nortel Networks Corporation in Financial Fraud Scheme
See also: Litigation Release No. 20275",0.44327226073829595
1137091,2020,ba3104453273a4b4fc56a7c24dbb6a1a,SEC Charges Engine Manufacturing Company Executives With Accounting Fraud,0.32827890240190816
1137091,2020,90c56aaf920ea0d8f6ac78856f0cd92e,SEC Charges Company CEO and Former CFO With Hiding Internal Controls Deficiencies and Violating Sarbanes-Oxley Requirements,0.3965380177672837
1137091,2020,68a252dc710f77aab3bc5f95bae51ba4,SEC and Law Enforcement Partners Crack Stock Promotion and Kickback Schemes,0.3971725726837444
1137091,2020,652c355b8848e75fdf85651bb0e31432,"SEC Charges Delphi Corporation and Nine Individuals, Including Former CEO, CFO, Treasurer and Controller, in Wide-Ranging Financial Fraud; Four Others Charged With Aiding and Abetting Related Violations
See also: Litigation Release 19891; Complaint; Administrative Proceeding Nos. 34-54665, 34-54666, 34-54667 and 34-54668",0.39021024046901653
1137091,2020,b48bced8a5064f8b3d2771ea4da2723a,"Engine Manufacturing Company to Pay Penalty, Take Remedial Measures to Settle Charges of Accounting Fraud",0.3375587039768262
